p1＼p2,粉砕,鉄拳,魔球,堅牢,石,ハサミムシ,山嵐,バラ,一閃,はさみ,手のひら,ゴースト,器,団扇,紙
粉砕,分1T,勝1T,負1T,負2T,負1T,勝2T,負2T,勝1T,勝1T,負2T,負2T,負1T,負1T,負1T,負1T
鉄拳,負1T,分3T,負2T,負4T,負2T,勝3T,勝2T,勝2T,勝1T,勝3T,負3T,負2T,負2T,負1T,負1T
魔球,勝1T,勝2T,分6T,負7T,負4T,勝3T,勝2T,勝2T,勝1T,勝3T,負6T,負3T,負3T,負2T,負2T
堅牢,勝2T,勝4T,勝7T,分14T,負7T,勝3T,勝3T,勝2T,勝1T,勝4T,負13T,負4T,負4T,負3T,負3T
石,勝1T,勝2T,勝4T,勝7T,分4T,勝3T,勝2T,勝2T,勝1T,勝3T,負8T,分2T,負3T,負2T,負2T
ハサミムシ,負2T,負3T,負3T,負3T,負3T,分5T,勝4T,勝4T,勝3T,分5T,勝3T,勝2T,勝3T,勝3T,勝3T
山嵐,勝2T,負2T,負2T,負3T,負2T,負4T,分3T,分4T,勝2T,分4T,勝4T,勝1T,勝3T,勝2T,勝2T
バラ,負1T,負2T,負2T,負2T,負2T,負4T,分4T,分4T,分3T,負4T,負4T,勝3T,勝6T,勝4T,勝5T
一閃,負1T,負1T,負1T,負1T,負1T,負3T,負2T,分3T,分2T,負2T,勝2T,分8T,勝3T,勝2T,勝2T
はさみ,勝2T,負3T,負3T,負4T,負3T,分5T,分4T,勝4T,勝2T,分4T,勝3T,勝2T,勝3T,勝2T,勝2T
手のひら,勝2T,勝3T,勝6T,勝13T,勝8T,負3T,負4T,勝4T,負2T,負3T,分12T,勝3T,勝10T,負7T,負7T
ゴースト,勝1T,勝2T,勝3T,勝4T,分2T,負2T,負1T,負3T,分8T,負2T,負3T,分3T,負3T,負2T,負2T
器,勝1T,勝2T,勝3T,勝4T,勝3T,負3T,負3T,負6T,負3T,負3T,負10T,勝3T,分9T,勝6T,負6T
団扇,勝1T,勝1T,勝2T,勝3T,勝2T,負3T,負2T,負4T,負2T,負2T,勝7T,勝2T,負6T,分4T,負4T
紙,勝1T,勝1T,勝2T,勝3T,勝2T,負3T,負2T,負5T,負2T,負2T,勝7T,勝2T,勝6T,勝4T,分4T
