選出,試合数,勝率(%)
魔球 / 山嵐 / 手のひら,456,92.8
石 / 山嵐 / 紙,456,91.0
魔球 / はさみ / 手のひら,456,90.4
石 / 山嵐 / 手のひら,456,89.8
魔球 / ハサミムシ / 手のひら,456,88.7
山嵐 / はさみ / 手のひら,456,88.7
石 / はさみ / 紙,456,87.9
魔球 / はさみ / 紙,456,87.8
石 / 山嵐 / はさみ,456,87.6
魔球 / 山嵐 / 紙,456,87.3
石 / ハサミムシ / 山嵐,456,86.3
ハサミムシ / 山嵐 / 手のひら,456,85.7
石 / ハサミムシ / 紙,456,85.2
石 / はさみ / 手のひら,456,84.8
魔球 / ハサミムシ / 紙,456,83.9
魔球 / 石 / ハサミムシ,456,83.7
石 / ハサミムシ / 手のひら,456,83.1
鉄拳 / 山嵐 / 手のひら,456,82.9
魔球 / 石 / 山嵐,456,82.8
魔球 / 一閃 / 手のひら,456,82.7
石 / ハサミムシ / はさみ,456,82.6
石 / 山嵐 / 団扇,456,82.3
石 / 山嵐 / 一閃,456,81.3
魔球 / 一閃 / 紙,456,81.1
堅牢 / はさみ / 手のひら,456,80.8
堅牢 / 山嵐 / 手のひら,456,80.3
山嵐 / 手のひら / 紙,456,80.3
石 / 山嵐 / 器,456,80.2
堅牢 / 石 / ハサミムシ,456,79.7
堅牢 / ハサミムシ / 手のひら,456,79.6
鉄拳 / ハサミムシ / 手のひら,456,79.3
山嵐 / 一閃 / 手のひら,456,79.1
石 / 一閃 / はさみ,456,78.9
石 / ハサミムシ / 一閃,456,78.2
石 / 一閃 / 紙,456,78.2
魔球 / 山嵐 / 団扇,456,78.2
鉄拳 / はさみ / 手のひら,456,78.0
堅牢 / はさみ / 紙,456,77.7
魔球 / 石 / はさみ,456,77.5
鉄拳 / 山嵐 / 紙,456,77.4
鉄拳 / ハサミムシ / 紙,456,77.3
堅牢 / 石 / はさみ,456,77.2
魔球 / 堅牢 / ハサミムシ,456,77.0
山嵐 / はさみ / 紙,456,76.8
魔球 / 山嵐 / 器,456,76.6
山嵐 / 手のひら / 団扇,456,76.3
魔球 / はさみ / 団扇,456,75.9
堅牢 / 山嵐 / 紙,456,75.3
堅牢 / ハサミムシ / 紙,456,75.3
魔球 / 石 / 紙,456,75.1
石 / はさみ / 団扇,456,75.1
山嵐 / 団扇 / 紙,456,75.0
魔球 / 堅牢 / はさみ,456,74.8
石 / 一閃 / 手のひら,456,74.7
魔球 / 堅牢 / 山嵐,456,74.5
鉄拳 / はさみ / 紙,456,74.3
石 / はさみ / 器,456,74.3
石 / はさみ / ゴースト,456,74.0
ハサミムシ / 山嵐 / 紙,456,73.6
魔球 / ハサミムシ / 団扇,456,72.8
石 / 山嵐 / ゴースト,456,72.8
鉄拳 / 手のひら / 紙,456,72.0
魔球 / 石 / バラ,456,71.7
魔球 / 一閃 / 団扇,456,71.6
石 / 山嵐 / バラ,456,71.6
魔球 / 石 / 一閃,456,71.4
堅牢 / 山嵐 / はさみ,456,71.2
石 / ハサミムシ / 団扇,456,71.2
はさみ / 手のひら / 紙,456,70.8
鉄拳 / 石 / 紙,456,70.6
魔球 / 石 / 手のひら,456,70.6
魔球 / 手のひら / 紙,456,70.5
堅牢 / ハサミムシ / 山嵐,456,70.5
堅牢 / 手のひら / 紙,456,70.3
石 / ハサミムシ / 器,456,70.0
ハサミムシ / はさみ / 手のひら,456,69.8
山嵐 / 手のひら / ゴースト,456,69.7
石 / バラ / はさみ,456,69.3
石 / ハサミムシ / バラ,456,69.2
石 / ハサミムシ / ゴースト,456,69.0
魔球 / はさみ / 器,456,68.8
堅牢 / 石 / 山嵐,456,68.4
山嵐 / 一閃 / 紙,456,67.7
ハサミムシ / 手のひら / 紙,456,67.3
粉砕 / 山嵐 / 手のひら,456,67.2
堅牢 / 石 / 手のひら,456,67.1
粉砕 / ハサミムシ / 手のひら,456,67.1
堅牢 / 一閃 / はさみ,456,67.0
堅牢 / はさみ / 団扇,456,66.8
石 / 一閃 / 団扇,456,66.8
石 / 手のひら / 紙,456,66.6
魔球 / バラ / 紙,456,66.4
魔球 / 山嵐 / はさみ,456,66.3
堅牢 / バラ / 手のひら,456,66.3
堅牢 / 一閃 / 手のひら,456,66.3
山嵐 / バラ / 手のひら,456,66.3
石 / 一閃 / ゴースト,456,66.0
堅牢 / 山嵐 / 団扇,456,65.7
堅牢 / はさみ / 器,456,65.7
石 / バラ / 手のひら,456,65.7
堅牢 / バラ / 紙,456,65.6
魔球 / バラ / 手のひら,456,65.5
堅牢 / 石 / バラ,456,65.2
魔球 / 堅牢 / 手のひら,456,65.1
鉄拳 / 魔球 / 紙,456,64.9
鉄拳 / 石 / はさみ,456,64.8
石 / 一閃 / 器,456,64.8
堅牢 / ハサミムシ / 団扇,456,64.6
石 / バラ / 紙,456,64.6
鉄拳 / 石 / 手のひら,456,64.5
鉄拳 / 一閃 / 手のひら,456,64.5
山嵐 / ゴースト / 紙,456,64.5
粉砕 / はさみ / 手のひら,456,64.4
堅牢 / 山嵐 / 器,456,64.3
堅牢 / 一閃 / 紙,456,64.1
魔球 / ハサミムシ / 器,456,63.9
堅牢 / バラ / はさみ,456,63.8
魔球 / 手のひら / ゴースト,456,63.6
ハサミムシ / はさみ / 紙,456,63.6
魔球 / 山嵐 / 一閃,456,63.5
堅牢 / ハサミムシ / 器,456,63.5
鉄拳 / 堅牢 / はさみ,456,63.4
堅牢 / 石 / 紙,456,63.3
魔球 / 堅牢 / バラ,456,62.8
魔球 / 一閃 / 器,456,62.7
粉砕 / はさみ / 紙,456,62.3
鉄拳 / 堅牢 / 手のひら,456,62.3
魔球 / 団扇 / 紙,456,62.1
堅牢 / ハサミムシ / はさみ,456,62.1
はさみ / 手のひら / 団扇,456,62.0
魔球 / 山嵐 / ゴースト,456,61.7
鉄拳 / 山嵐 / 器,456,61.1
粉砕 / 魔球 / 紙,456,61.1
堅牢 / はさみ / ゴースト,456,61.0
魔球 / はさみ / ゴースト,456,60.8
鉄拳 / 堅牢 / 紙,456,60.7
魔球 / 手のひら / 器,456,60.7
鉄拳 / 魔球 / 手のひら,456,60.6
粉砕 / ハサミムシ / 紙,456,60.4
堅牢 / 石 / 一閃,456,60.4
堅牢 / バラ / 一閃,456,60.4
ハサミムシ / 団扇 / 紙,456,60.3
魔球 / 一閃 / はさみ,456,60.2
魔球 / 手のひら / 団扇,456,60.2
鉄拳 / 堅牢 / ハサミムシ,456,60.1
魔球 / 一閃 / ゴースト,456,60.0
鉄拳 / 石 / 山嵐,456,59.9
魔球 / 堅牢 / 一閃,456,59.9
粉砕 / 魔球 / 手のひら,456,59.6
魔球 / ハサミムシ / 山嵐,456,59.6
堅牢 / 山嵐 / 一閃,456,59.6
堅牢 / 手のひら / 器,456,59.6
山嵐 / 器 / 紙,456,59.6
ハサミムシ / 手のひら / 団扇,456,59.5
堅牢 / ハサミムシ / ゴースト,456,59.4
魔球 / ハサミムシ / ゴースト,456,59.3
石 / 手のひら / ゴースト,456,59.2
石 / 手のひら / 団扇,456,59.2
鉄拳 / 手のひら / 団扇,456,59.1
粉砕 / 山嵐 / 紙,456,59.0
粉砕 / 石 / 紙,456,58.8
魔球 / ハサミムシ / はさみ,456,58.8
はさみ / 団扇 / 紙,456,58.8
魔球 / 器 / 紙,456,58.1
堅牢 / ハサミムシ / 一閃,456,58.1
山嵐 / 手のひら / 器,456,58.1
粉砕 / 石 / 手のひら,456,58.0
鉄拳 / 一閃 / 紙,456,57.9
一閃 / はさみ / 手のひら,456,57.7
鉄拳 / 山嵐 / 団扇,456,57.4
鉄拳 / 堅牢 / 山嵐,456,57.2
魔球 / ハサミムシ / 一閃,456,57.1
石 / 団扇 / 紙,456,57.1
堅牢 / 手のひら / 団扇,456,57.0
鉄拳 / 石 / ハサミムシ,456,56.9
魔球 / 堅牢 / 紙,456,56.8
堅牢 / バラ / 器,456,56.8
石 / 器 / 紙,456,56.8
山嵐 / はさみ / 器,456,56.7
鉄拳 / 石 / 一閃,456,56.6
石 / バラ / 一閃,456,56.6
鉄拳 / バラ / 手のひら,456,56.3
粉砕 / 石 / ハサミムシ,456,55.9
堅牢 / 一閃 / 器,456,55.8
はさみ / 手のひら / ゴースト,456,55.8
山嵐 / はさみ / 団扇,456,55.8
粉砕 / 石 / はさみ,456,55.7
石 / ゴースト / 紙,456,55.7
堅牢 / 器 / 紙,456,55.5
鉄拳 / ハサミムシ / 団扇,456,55.4
魔球 / 石 / 器,456,55.0
魔球 / バラ / 器,456,54.5
魔球 / ゴースト / 紙,456,54.1
石 / 手のひら / 器,456,53.9
ハサミムシ / 山嵐 / 団扇,456,53.9
魔球 / 山嵐 / バラ,456,53.7
魔球 / 石 / 団扇,456,53.6
魔球 / バラ / 団扇,456,53.6
山嵐 / バラ / 紙,456,53.5
ハサミムシ / 山嵐 / 器,456,53.4
堅牢 / ハサミムシ / バラ,456,53.3
堅牢 / 一閃 / 団扇,456,53.2
堅牢 / バラ / 団扇,456,53.0
鉄拳 / バラ / 紙,456,52.9
堅牢 / 石 / 団扇,456,52.9
鉄拳 / 手のひら / 器,456,52.4
鉄拳 / はさみ / 団扇,456,52.3
ハサミムシ / 一閃 / 手のひら,456,52.3
堅牢 / 山嵐 / ゴースト,456,52.1
粉砕 / 堅牢 / はさみ,456,52.0
バラ / はさみ / 手のひら,456,51.9
鉄拳 / 手のひら / ゴースト,456,51.8
鉄拳 / ハサミムシ / 器,456,51.5
堅牢 / 手のひら / ゴースト,456,51.3
鉄拳 / 団扇 / 紙,456,51.3
堅牢 / 団扇 / 紙,456,51.0
石 / バラ / 団扇,456,51.0
粉砕 / 堅牢 / 手のひら,456,50.9
粉砕 / 鉄拳 / 手のひら,456,50.9
鉄拳 / ゴースト / 紙,456,50.9
石 / バラ / 器,456,50.9
鉄拳 / 器 / 紙,456,50.8
堅牢 / 山嵐 / バラ,456,50.5
石 / バラ / ゴースト,456,50.4
鉄拳 / 魔球 / 一閃,456,49.5
一閃 / はさみ / 紙,456,49.1
山嵐 / はさみ / ゴースト,456,49.1
粉砕 / 一閃 / 手のひら,456,49.0
魔球 / ハサミムシ / バラ,456,48.9
ハサミムシ / 一閃 / 紙,456,48.9
ハサミムシ / ゴースト / 紙,456,48.9
鉄拳 / 堅牢 / 一閃,456,48.8
鉄拳 / はさみ / 器,456,48.8
山嵐 / 器 / 団扇,456,48.7
堅牢 / 一閃 / ゴースト,456,48.6
魔球 / 堅牢 / 団扇,456,48.5
山嵐 / 一閃 / 団扇,456,48.2
粉砕 / 石 / 山嵐,456,48.1
鉄拳 / 堅牢 / バラ,456,48.1
魔球 / バラ / はさみ,456,48.0
堅牢 / 石 / 器,456,47.6
粉砕 / 石 / 一閃,456,47.1
ハサミムシ / 手のひら / ゴースト,456,47.1
鉄拳 / ハサミムシ / はさみ,456,46.8
ハサミムシ / はさみ / 団扇,456,46.8
鉄拳 / ハサミムシ / 山嵐,456,46.7
魔球 / バラ / ゴースト,456,46.7
ハサミムシ / 手のひら / 器,456,46.7
粉砕 / 堅牢 / 紙,456,46.5
魔球 / 堅牢 / 器,456,46.5
鉄拳 / 山嵐 / はさみ,456,46.3
ハサミムシ / 器 / 紙,456,46.2
はさみ / ゴースト / 紙,456,46.2
粉砕 / ハサミムシ / 団扇,456,46.0
一閃 / 手のひら / 紙,456,45.9
鉄拳 / 山嵐 / 一閃,456,45.8
鉄拳 / 石 / バラ,456,45.7
ハサミムシ / バラ / 手のひら,456,45.5
山嵐 / 一閃 / はさみ,456,45.5
ハサミムシ / 山嵐 / ゴースト,456,45.4
山嵐 / 一閃 / 器,456,45.3
山嵐 / ゴースト / 団扇,456,45.1
粉砕 / 堅牢 / 山嵐,456,45.1
石 / 器 / 団扇,456,45.0
鉄拳 / 石 / 団扇,456,44.8
ハサミムシ / はさみ / ゴースト,456,44.3
粉砕 / 山嵐 / はさみ,456,44.2
鉄拳 / 魔球 / ハサミムシ,456,44.2
手のひら / ゴースト / 紙,456,44.0
鉄拳 / 魔球 / はさみ,456,43.9
鉄拳 / 堅牢 / 団扇,456,43.9
粉砕 / 一閃 / 紙,456,43.6
鉄拳 / 魔球 / 団扇,456,43.5
粉砕 / ハサミムシ / 山嵐,456,43.4
粉砕 / はさみ / 団扇,456,43.3
粉砕 / 堅牢 / 一閃,456,43.2
鉄拳 / 石 / 器,456,43.1
鉄拳 / ハサミムシ / 一閃,456,43.1
魔球 / 器 / 団扇,456,43.1
堅牢 / ゴースト / 紙,456,43.1
堅牢 / バラ / ゴースト,456,43.0
山嵐 / 一閃 / ゴースト,456,42.9
堅牢 / 器 / 団扇,456,42.7
鉄拳 / ハサミムシ / ゴースト,456,42.4
鉄拳 / 魔球 / 山嵐,456,42.2
