id,名前,属性,試合数,勝,敗,分,未決着,勝率(%),平均決着ターン
ishi,石,グー,41496,25112,15737,585,62,61.3,14.17
tenohira,手のひら,パー,41496,24246,16575,499,176,59.3,16.98
yamaarashi,山嵐,チョキ,41496,24046,16578,634,238,59.1,14.19
magyu,魔球,グー,41496,23351,17559,538,48,57.0,14.96
kami,紙,パー,41496,23123,17704,605,64,56.5,14.12
hasami,はさみ,チョキ,41496,22616,18225,562,93,55.3,13.90
kenro,堅牢,グー,41496,22546,18415,453,82,55.0,17.79
hasamimushi,ハサミムシ,チョキ,41496,22205,18727,540,24,54.2,14.41
issen,一閃,チョキ,41496,19079,21799,546,72,46.7,12.48
tekken,鉄拳,グー,41496,18601,22295,557,43,45.5,13.85
uchiwa,団扇,パー,41496,18169,22665,544,118,44.6,14.03
utsuwa,器,パー,41496,16724,23967,463,342,41.2,15.68
bara,バラ,チョキ,41496,16288,24423,746,39,40.2,13.01
ghost,ゴースト,パー,41496,15609,24953,801,133,38.7,14.10
funsai,粉砕,グー,41496,14264,26357,531,344,35.3,13.72
